16,-2:-4, -4, -8, 8, -8
6,14:-4, 4, 4, -6, 2
5,-4:-4, -6, 6, 10, 0, 6
5,-4:-4, -6, 6, 10, 0, 8
5,-4:-4, -6, 6, 10, 0, 10
5,-4:-4, -6, 6, 10, 6, 0
5,-4:-4, -6, 6, 10, 6, 2
13,2:-4, -4, -8, -10, -20, -8
13,2:-4, -4, -8, -10, -8, -20
16,-2:-4, -4, -8, -2, 8, -8
6,14:-4, 4, 4, -6, -14, -4
6,14:-4, 4, 4, -6, -14, 0
6,14:-4, 4, 4, -6, -4, -4
6,14:-4, 4, 4, -6, -4, -2
6,14:-4, 4, 4, -6, 0, -14
6,14:-4, 4, 4, -6, 0, -4
15,8:6, 6, -2, -2, 8, 0
-1,18:6, 6, 6, -6, 10, 10
5,-4:-4, -6, 6, 10, 0, 2, 4
5,-4:-4, -6, 6, 10, 0, 2, 6
5,-4:-4, -6, 6, 10, 0, 2, 8
5,-4:-4, -6, 6, 10, 6, 6, 0
5,-4:-4, -6, 6, 10, 6, 6, 2
5,-4:-4, -6, 6, 10, 6, 6, 4
5,-4:-4, -6, 6, 10, 12, 22, 12
5,-4:-4, -6, 6, 10, 12, 22, 14
5,-4:-4, -6, 6, 10, 12, 22, 16
10,-1:-4, 0, -12, -6, 8, 12, 0
6,14:-4, 4, 4, -6, -14, -2, 2
6,14:-4, 4, 4, -6, -14, 2, 2
6,14:-4, 4, 4, -6, -6, -14, -4
6,14:-4, 4, 4, -6, -4, -10, -4
6,14:-4, 4, 4, -6, -4, -8, -10
6,14:-4, 4, 4, -6, -4, -6, -6
6,14:-4, 4, 4, -6, -4, -6, -4
6,14:-4, 4, 4, -6, -4, -6, -2
6,14:-4, 4, 4, -6, -4, 0, -10
6,14:-4, 4, 4, -6, -4, 0, -4
6,14:-4, 4, 4, -6, -4, 0, -2
6,14:-4, 4, 4, 6, 6, -6, -2
19,1:6, -4, -4, -4, -8, 8, -8
9,17:6, -4, -4, 4, 4, -6, 2
15,8:6, 6, -2, -2, 8, 2, 6
15,8:6, 6, -2, -2, 8, 2, 16
15,8:6, 6, -2, -2, 8, 6, 4
15,8:6, 6, -2, -2, 8, 6, 6
15,8:6, 6, -2, -2, 8, 16, 2
15,8:6, 6, -2, -2, 8, 16, 6
-1,18:6, 6, 6, -6, 4, 10, 10
3,15:6, 6, 6, 10, 12, 10, 22
3,15:6, 6, 6, 10, 12, 22, 10
-3,7:6, 6, 8, -4, -8, -8, 0
-3,7:6, 6, 8, -4, -8, -8, 2
-3,7:6, 6, 8, -4, -8, 2, -8
-3,7:6, 6, 8, -4, -8, 2, -6
-3,7:6, 6, 8, -4, -8, 2, -4
11,10:6, 6, 16, -16, 4, 2, 14, 18, 8, 18
11,10:6, 6, 16, -16, 4, 2, 14, 18, 14, 8
11,10:6, 6, 16, -16, 4, 2, 14, 18, 14, 10
19,16:6, 6, 16, -16, 4, 4, 0, -2, -12, 0
19,16:6, 6, 16, -16, 4, 4, 0, -2, 0, -12
22,12:6, 6, 16, -16, 4, 4, 0, 6, 16, 0
12,28:6, 6, 16, -16, 4, 12, 12, 2, -6, 4
12,28:6, 6, 16, -16, 4, 12, 12, 2, -6, 8
12,28:6, 6, 16, -16, 4, 12, 12, 2, 4, 4
12,28:6, 6, 16, -16, 4, 12, 12, 2, 4, 6
12,28:6, 6, 16, -16, 4, 12, 12, 2, 8, -6
12,28:6, 6, 16, -16, 4, 12, 12, 2, 8, 4
21,22:6, 6, 16, -16, 14, 14, 6, 6, 16, 8
5,32:6, 6, 16, -16, 14, 14, 14, 2, 18, 18
23,2:6, 6, 16, -8, -8, -16, -16, -6, -14, 6
23,2:6, 6, 16, -8, -8, -16, -16, -6, -14, 8
23,2:6, 6, 16, -8, -8, -16, -16, -6, -14, 10
23,2:6, 6, 16, -8, -8, -16, -16, -6, 6, -14
7,12:6, 6, 16, -8, -8, -8, -20, -4, 6, -4
