5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -12
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, -2
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -20
5,4:-4, -12, 4, 4, -6, -8, -10, -8, -12, -10
10,-1:-4, -12, 4, 4, -6, -8, -10, -8, -2, -20
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 2
7,5:-4, -6, 6, 10, -10, -14, 12, 14, 2, -6
16,1:-4, -12, -8, -4, -14, -4, -2, -2, 0, -12, -6
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -10, -14
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -10, -12
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -10, -10
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -8, -8
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -8, -6
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -8, -4
5,4:-4, -12, 4, 4, -6, -8, -10, -20, -8, -6, -10
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, -4, 2
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, -4, 12
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 0, -2
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 0, 0
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 2, 2
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 2, 4
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 2, 6
10,-1:-4, -12, 4, 4, -6, -8, -10, -20, -8, 4, 0
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -10, -6
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -10, -2
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, -2, 0
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 0, -6
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 0, 0
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 0, 4
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 4, 0
-2,4:-4, -6, 6, -2, -4, 12, 20, 14, 22, 20, 6
-6,8:-4, -6, 6, 10, -14, 12, 2, 22, 2, 14, -8
7,5:-4, -6, 6, 10, -10, -14, 12, 2, 2, -6, 10
7,5:-4, -6, 6, 10, -10, -14, 12, 2, 2, -6, 20
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 4, 22
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 14, 12
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 14, 22
1,11:6, 6, -2, -2, 14, 8, 10, 12, 10, 22, 4
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 22, 14
7,8:6, 6, 8, -4, -8, -10, -12, 0, 10, 16, 8
9,-2:6, 6, 8, -4, 10, 20, 12, 4, 4, 22, 0
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 10, 22, 6
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 10, 22, 8
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 10, 22, 10
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 12, 22, 12
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 12, 22, 14
6,6:6, 6, -2, -2, 14, 8, 10, 12, 10, 12, 22, 16
7,8:6, 6, 8, -4, -8, -10, -4, 0, 10, 16, 8, -18
7,8:6, 6, 8, -4, -8, -10, -4, 0, 10, 16, 8, -8
10,-5:6, 6, 8, -4, -8, -10, -4, 16, -20, 0, -12, 10
6,-1:6, 6, 8, -4, 4, -10, -18, -20, -12, -18, 6, -4
9,-2:6, 6, 8, -4, 10, 20, 12, 4, 4, 22, -2, 2
9,-2:6, 6, 8, -4, 10, 20, 12, 4, 4, 22, 2, -2
9,-2:6, 6, 8, -4, 10, 20, 12, 4, 4, 22, 2, 2
9,-2:6, 6, 8, -4, 10, 20, 12, 4, 4, 22, 2, 8
9,-2:6, 6, 8, -4, 10, 20, 12, 4, 4, 22, 4, 2
9,-2:6, 6, 8, -4, 10, 20, 12, 4, 4, 22, 10, 4
9,-2:6, 6, 8, -4, 10, 20, 12, 4, 4, 22, 10, 8
3,17:6, 6, 14, 10, 4, 6, 16, 6, 4, 0, 14, 8
