-1,0:-4, -6, -13, -5, -25
-1,0:-4, -6, -13, -5, -24
-1,0:-4, -6, -13, -5, -23
-1,0:-4, -6, -13, -5, -22
-1,0:-4, -6, -13, -5, -21
5,-6:-4, -6, 6, -2, 14
5,-6:-4, -6, 6, -2, 15
5,-6:-4, -6, 6, -2, 16
5,-6:-4, -6, 6, -2, 17
5,-6:-4, -6, 6, -2, 18
5,-6:-4, -6, 6, -2, 19
-5,4:5, 2, -5, 3, -18
-5,4:5, 2, -5, 3, -17
-5,4:5, 2, -5, 3, -16
-5,4:5, 2, -5, 3, -15
-5,4:5, 2, -5, 3, -14
-5,4:5, 2, -5, 3, -13
1,-2:5, 2, 14, 6, 22
1,-2:5, 2, 14, 6, 23
1,-2:5, 2, 14, 6, 24
1,-2:5, 2, 14, 6, 25
1,-2:5, 2, 14, 6, 26
1,-2:5, 2, 14, 6, 27
6,-4:6, -3, -5, 7, -1, 20
-4,6:6, 6, 3, -4, 4, -17
-4,6:6, 6, 3, -4, 4, -16
-4,6:6, 6, 3, -4, 4, -15
-4,6:6, 6, 3, -4, 4, -14
-4,6:6, 6, 3, -4, 4, -13
-4,6:6, 6, 3, -4, 4, -12
2,0:6, 6, 3, 15, 7, 23
2,0:6, 6, 3, 15, 7, 24
2,0:6, 6, 3, 15, 7, 25
2,0:6, 6, 3, 15, 7, 26
2,0:6, 6, 3, 15, 7, 27
2,0:6, 6, 3, 15, 7, 28
